mission,id,name,disposition,period_days,radius_re,snr
Kepler,6599919,,CANDIDATE,13.61014819,19.02,184.1
Kepler,6675056,,FALSE POSITIVE,10.44331991,2.66,51.7
Kepler,6685526,Kepler-707 b,CONFIRMED,2.237489571,1.41,30.7
Kepler,6756669,,FALSE POSITIVE,5.851520671,14.62,1630.4
Kepler,6784235,Kepler-708 b,CONFIRMED,3.167893418,2.62,64.8
Kepler,6849310,Kepler-244 b,CONFIRMED,4.311780262,3.11,86.1
Kepler,6849310,Kepler-244 d,CONFIRMED,20.0504494,2.69,37.8
Kepler,6849310,Kepler-244 c,CONFIRMED,9.76734503,2.67,21.1
Kepler,6862328,,CANDIDATE,119.0207044,8.98,223.5
Kepler,9471974,Kepler-108 c,CONFIRMED,190.3200468,7.78,139.3
Kepler,6862603,,FALSE POSITIVE,2.861159894,4.37,58.3
Kepler,7366258,Kepler-82 b,CONFIRMED,26.44439337,3.91,88
Kepler,7366258,Kepler-82 c,CONFIRMED,51.53997972,5.51,155.5
Kepler,7366258,Kepler-82 e,CONFIRMED,5.902245782,2.43,59.3
Kepler,7366258,Kepler-82 d,CONFIRMED,2.382951591,1.86,41.4
Kepler,7373451,Kepler-712 b,CONFIRMED,21.02250608,3.07,62.4
Kepler,6948054,Kepler-245 e,CONFIRMED,3.219814777,1.69,30.5
Kepler,6949607,Kepler-28 b,CONFIRMED,5.912273234,1.73,62.8
Kepler,6949607,Kepler-28 c,CONFIRMED,8.98581901,1.65,51.8
Kepler,7031517,,CANDIDATE,12.940668656,22.94,307.5
Kepler,11869052,,FALSE POSITIVE,20.5452375,2.41,18.5
Kepler,7109675,Kepler-46 b,CONFIRMED,33.60123371,8.46,247.9
Kepler,7109675,Kepler-46 d,CONFIRMED,6.76652928,1.97,29.2
Kepler,7118364,Kepler-710 b,CONFIRMED,4.347288783,2.36,39.7
Kepler,7134976,Kepler-246 b,CONFIRMED,4.601811819,2.35,60.8
Kepler,7134976,Kepler-246 c,CONFIRMED,11.18719905,1.55,21.9
Kepler,7135852,Kepler-1729 b,CONFIRMED,4.220965778,2.62,157.8
Kepler,7270230,,FALSE POSITIVE,6.998099523,588.66,192.3
Kepler,7287995,Kepler-81 b,CONFIRMED,5.95489993,2.33,87.2
