mission,id,name,disposition,period_days,radius_re,snr
TESS,309787037,1046.01,FP,1.3042553,9.36472,
TESS,370745311,1047.01,FP,0.62627,5.72162,
TESS,384549882,1048.01,FP,0.30412,10.417,
TESS,405862830,1126.01,FP,1.6268695,2.36498,
TESS,269450900,1127.01,FP,2.32439,,
TESS,425721385,1128.01,FP,13.5499,6.24633,
TESS,91576611,1129.01,FP,4.43651,19.9664,
TESS,97409519,113.01,KP,3.372877,14.201803,
TESS,254113311,1130.01,CP,8.34998,11.1424,
TESS,254113311,1130.02,CP,4.06864049280981,3.75483332106436,
TESS,198213332,1131.01,PC,0.586036569221392,4.90640798472291,
TESS,267489265,1132.01,FP,1.5502952,3.34528,
TESS,69997672,1133.01,FP,1.80709,4.86242,
TESS,122220263,1134.01,FP,18.6922101,18.1458,
TESS,154872375,1135.01,CP,8.0277326,9.06883,
TESS,142276270,1136.01,CP,12.5187279,5.58857,
TESS,142276270,1136.02,CP,6.2586065,2.51593,
TESS,142276270,1136.03,CP,26.3208756,2.71349,
TESS,142276270,1136.04,CP,18.795546965368,2.15976694655451,
TESS,89389197,1137.01,PC,1.32063557110728,34.7561623503994,
TESS,110428269,1138.01,FP,0.64971,6.23181,
TESS,379240073,1079.01,PC,3.16440749046008,14.8814742807603,
TESS,289793076,108.01,KP,3.0440540665342,12.1086799407213,
TESS,161032923,1080.01,PC,3.96524845539638,1.23051019500343,
TESS,253728991,1081.01,PC,2.98278,11.467011,
TESS,261108236,1082.01,PC,16.3469052629848,3.50595707233358,
TESS,322270620,1083.01,PC,12.980295277053,2.42419118730664,
TESS,380589029,1084.01,KP,1.34849612641642,15.8824637918908,
TESS,381979901,1085.01,APC,3.2541181,14.9476,
TESS,468148930,1086.01,PC,3.71788284000029,14.6986197420906,
TESS,426077080,1087.01,FP,9.30992,14.2968,
TESS,343648136,1088.01,FA,1.15395,5.48364,
TESS,129319156,1089.01,FP,4.73703,25.7144,
